epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3142382502555847,3.8221616744995117,1e-04,0.42330193519592285,3.0332014560699463
1,0.3951655626296997,2.7024049758911133,1e-04,0.452126145362854,2.265913486480713
2,0.4465137720108032,2.062112331390381,1e-04,0.4917950928211212,1.794842004776001
3,0.4853871464729309,1.6933437585830688,1e-04,0.5453053712844849,1.467864751815796
4,0.5170336365699768,1.4756406545639038,1e-04,0.5557934045791626,1.3360472917556763
5,0.5451991558074951,1.3389164209365845,1e-04,0.5881849527359009,1.2142373323440552
6,0.5702724456787109,1.2454180717468262,1e-04,0.6114440560340881,1.1277196407318115
7,0.592341959476471,1.17685067653656,1e-04,0.628995418548584,1.0803651809692383
8,0.6085627675056458,1.1231191158294678,1e-04,0.6443350315093994,1.0405193567276
9,0.6256140470504761,1.0778553485870361,1e-04,0.6652397513389587,0.9892983436584473
10,0.6422765851020813,1.0337142944335938,1e-04,0.679366409778595,0.9636064171791077
11,0.6560059189796448,0.9989691376686096,1e-04,0.6942779421806335,0.9182621240615845
12,0.6728098392486572,0.9578875303268433,1e-04,0.7064069509506226,0.886711061000824
13,0.6850196123123169,0.925945520401001,1e-04,0.716752290725708,0.8579124808311462
14,0.6979891657829285,0.8971160054206848,1e-04,0.7255279421806335,0.8494229316711426
15,0.7089267373085022,0.8651946783065796,1e-04,0.7369434833526611,0.8155805468559265
16,0.7208184599876404,0.8377630710601807,1e-04,0.7295947670936584,0.8369566202163696
17,0.7294766306877136,0.8150184154510498,1e-04,0.7572773694992065,0.7775453925132751
18,0.7440541386604309,0.7827496528625488,1e-04,0.7713327407836914,0.7373545169830322
19,0.7514753937721252,0.7626966834068298,1e-04,0.7726883292198181,0.7495409846305847
20,0.7586846947669983,0.7435373663902283,1e-04,0.7838898301124573,0.7022466659545898
21,0.7682793140411377,0.7204846739768982,1e-04,0.7957334518432617,0.6796573996543884
22,0.7728027701377869,0.6993764042854309,1e-04,0.794877290725708,0.6804190278053284
23,0.7820263504981995,0.6837785243988037,1e-04,0.8059360980987549,0.6563010811805725
24,0.7851008772850037,0.6712945103645325,1e-04,0.8097174763679504,0.646155595779419
25,0.7935823798179626,0.6517713069915771,1e-04,0.8224172592163086,0.6203115582466125
26,0.7974520325660706,0.6381600499153137,1e-04,0.8234874606132507,0.6050827503204346
27,0.8039368391036987,0.6242856979370117,1e-04,0.8264840245246887,0.605389416217804
28,0.8086546063423157,0.6087556481361389,1e-04,0.8329765796661377,0.5921685099601746
29,0.8139025568962097,0.5918330550193787,1e-04,0.8383989930152893,0.5766866207122803
30,0.8181785941123962,0.5888209939002991,1e-04,0.8344748616218567,0.5878382325172424
31,0.8217832446098328,0.5721733570098877,1e-04,0.8486729264259338,0.5485193729400635
